"행정구역별(시군구)","연령별",2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"행정구역별(시군구)","연령별",1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자,1인가구,남자,여자
"동부","20세 미만",49975,23399,26576,61456,27983,33473,44337,20107,24230,43687,20033,23654,41420,18870,22550
"동부","20~24",377549,164955,212594,424759,180994,243765,428391,182243,246148,424837,183790,241047,435510,189771,245739
"동부","25~29",610709,340343,270366,689878,375809,314069,775343,417545,357798,806310,427345,378965,815023,426932,388091
"동부","30~34",488990,305648,183342,545181,341012,204169,621270,386287,234983,687549,423660,263889,734147,447433,286714
"동부","35~39",414913,261066,153847,429101,270059,159042,450260,284073,166187,455179,287617,167562,458074,290060,168014
"동부","40~44",338228,210434,127794,359236,223750,135486,393203,245835,147368,417338,261422,155916,432761,271200,161561
"동부","45~49",386916,236149,150767,390895,239991,150904,395631,243520,152111,396602,242576,154026,390350,239192,151158
"동부","50~54",371784,216980,154804,393104,231987,161117,428897,253841,175056,452132,267297,184835,466668,276372,190296
"동부","55~59",406195,209640,196555,415006,218338,196668,428140,229377,198763,436685,235252,201433,458371,249593,208778
"동부","60~64",405768,177493,228275,441772,195826,245946,490282,221055,269227,510819,234089,276730,535178,251712,283466
"동부","65~69",300258,110900,189358,344784,129407,215377,398935,153529,245406,436259,170917,265342,487135,197034,290101
"동부","70~74",256540,76131,180409,280285,84394,195891,303279,93408,209871,327096,104067,223029,347775,114439,233336
"동부","75~79",229354,52206,177148,238502,55224,183278,248018,59309,188709,260185,63974,196211,283061,73024,210037
"동부","80~84",162069,31336,130733,174607,34370,140237,193567,39106,154461,220125,44916,175209,236096,49423,186673
"동부","85세 이상",98291,17808,80483,111924,20779,91145,129471,24345,105126,148555,27859,120696,168024,32010,136014
"서울특별시","합계",1299787,611561,688226,1390701,650999,739702,1489893,698324,791569,1564187,730639,833548,1627480,760084,867396
