"행정구역별(시군구)","성별","연령",2023,2023,2023,2023,2023,2023,2023,2023
"행정구역별(시군구)","성별","연령",1인가구,주택_계,주택_단독주택,주택_아파트,주택_연립주택,주택_다세대 주택,주택_비주거용 건물 내 주택,주택 이외의 거처_계
"읍부","남자","75~79",11041,10563,5710,3745,339,603,166,478
"읍부","남자","80~84",7741,7442,4264,2465,247,375,91,299
"읍부","남자","85세 이상",5681,5532,3441,1610,159,252,70,149
"읍부","여자","합계",340853,323072,144034,143874,11356,18836,4972,17781
"읍부","여자","20세 미만",1709,1530,1101,310,22,56,41,179
"읍부","여자","20~24",15558,14184,10159,2870,229,625,301,1374
"읍부","여자","25~29",22552,19493,9159,8453,540,1058,283,3059
"읍부","여자","30~34",17974,16059,6090,8427,447,865,230,1915
"읍부","여자","35~39",12115,11099,3866,6059,329,683,162,1016
"읍부","여자","40~44",14101,13193,4283,7389,463,845,213,908
"읍부","여자","45~49",15892,15024,4689,8450,540,1067,278,868
"읍부","여자","50~54",22759,21507,6630,12107,826,1532,412,1252
"읍부","여자","55~59",27245,25828,8439,14091,1005,1825,468,1417
"읍부","여자","60~64",35748,34043,11956,17736,1380,2302,669,1705
"읍부","여자","65~69",35785,34439,13145,17085,1448,2236,525,1346
"읍부","여자","70~74",30997,30076,13555,13135,1219,1708,459,921
"읍부","여자","75~79",29934,29242,15024,11103,1113,1633,369,692
"읍부","여자","80~84",32216,31649,18925,9854,1076,1461,333,567
"읍부","여자","85세 이상",26268,25706,17013,6805,719,940,229,562
"면부","계","합계",808317,748310,598894,109839,9750,19583,10244,60007
"면부","계","20세 미만",3317,3007,2611,205,31,55,105,310
"면부","계","20~24",25514,23552,19254,3114,218,452,514,1962
"면부","계","25~29",34165,29000,17190,9351,729,1215,515,5165
"면부","계","30~34",32757,28023,14628,11019,670,1247,459,4734
"면부","계","35~39",25705,22416,11940,8661,453,989,373,3289
"면부","계","40~44",31261,27416,15534,9421,593,1372,496,3845
"면부","계","45~49",36250,31893,20150,9090,617,1419,617,4357
"면부","계","50~54",56048,49646,35099,10663,871,2054,959,6402
"면부","계","55~59",74429,66679,51631,10501,1038,2267,1242,7750
"면부","계","60~64",99547,91163,74325,11568,1174,2546,1550,8384
"면부","계","65~69",92006,86161,72403,9438,1034,2040,1246,5845
"면부","계","70~74",72836,69670,60742,6013,729,1384,802,3166
"면부","계","75~79",67942,65936,59138,4502,663,1037,596,2006
"면부","계","80~84",81091,79567,73929,3704,567,906,461,1524
"면부","계","85세 이상",75449,74181,70320,2589,363,600,309,1268
"면부","남자","합계",404224,362593,281361,59891,4961,10671,5709,41631
"면부","남자","20세 미만",1796,1602,1397,116,11,21,57,194
"면부","남자","20~24",14576,13254,10682,1901,139,254,278,1322
"면부","남자","25~29",23520,19763,12068,6021,491,826,357,3757
"면부","남자","30~34",23723,20108,10611,7777,461,940,319,3615
"면부","남자","35~39",18967,16339,8801,6238,329,708,263,2628
"면부","남자","40~44",23143,20019,11623,6647,410,973,366,3124
"면부","남자","45~49",25899,22386,14858,5728,391,970,439,3513
"면부","남자","50~54",38392,33480,24991,6061,517,1299,612,4912
"면부","남자","55~59",48214,42603,34571,5381,580,1322,749,5611
"면부","남자","60~64",60229,54484,46464,5284,557,1307,872,5745
"면부","남자","65~69",49090,45404,39536,3905,429,901,633,3686
"면부","남자","70~74",30207,28417,25008,2264,269,518,358,1790
"면부","남자","75~79",18992,18071,16084,1282,192,308,205,921
"면부","남자","80~84",14997,14476,13248,794,114,191,129,521
"면부","남자","85세 이상",12479,12187,11419,492,71,133,72,292
"면부","여자","합계",404093,385717,317533,49948,4789,8912,4535,18376
"면부","여자","20세 미만",1521,1405,1214,89,20,34,48,116
"면부","여자","20~24",10938,10298,8572,1213,79,198,236,640
"면부","여자","25~29",10645,9237,5122,3330,238,389,158,1408
"면부","여자","30~34",9034,7915,4017,3242,209,307,140,1119
"면부","여자","35~39",6738,6077,3139,2423,124,281,110,661
"면부","여자","40~44",8118,7397,3911,2774,183,399,130,721
"면부","여자","45~49",10351,9507,5292,3362,226,449,178,844
"면부","여자","50~54",17656,16166,10108,4602,354,755,347,1490
"면부","여자","55~59",26215,24076,17060,5120,458,945,493,2139
"면부","여자","60~64",39318,36679,27861,6284,617,1239,678,2639
"면부","여자","65~69",42916,40757,32867,5533,605,1139,613,2159
"면부","여자","70~74",42629,41253,35734,3749,460,866,444,1376
"면부","여자","75~79",48950,47865,43054,3220,471,729,391,1085
"면부","여자","80~84",66094,65091,60681,2910,453,715,332,1003
"면부","여자","85세 이상",62970,61994,58901,2097,292,467,237,976
"동부","계","합계",6289593,5499599,2216859,2339065,110444,715008,118223,789994
"동부","계","20세 미만",41420,36865,26498,5462,304,2861,1740,4555
"동부","계","20~24",435510,363226,240736,58950,4090,44252,15198,72284
"동부","계","25~29",815023,627747,310419,184238,9722,103294,20074,187276
"동부","계","30~34",734147,582025,227137,236428,9731,95488,13241,152122
"동부","계","35~39",458074,379131,134915,174146,6488,56090,7492,78943
"동부","계","40~44",432761,370767,134623,172457,6677,49809,7201,61994
"동부","계","45~49",390350,342027,128726,156962,6358,43191,6790,48323
"동부","계","50~54",466668,416148,162133,187790,8089,49805,8331,50520
"동부","계","55~59",458371,418667,164996,187139,8878,49072,8582,39704
"동부","계","60~64",535178,499164,187219,232741,11416,58332,9456,36014
"동부","계","65~69",487135,461462,164162,224742,11368,53237,7953,25673
"동부","계","70~74",347775,334590,112435,169960,8959,38557,4679,13185
"동부","계","75~79",283061,274465,89446,142380,7702,31556,3381,8596
"동부","계","80~84",236096,229955,77214,118956,6539,24757,2489,6141
"동부","계","85세 이상",168024,163360,56200,86714,4123,14707,1616,4664
"동부","남자","합계",3127065,2696416,1244159,994383,48207,341778,67889,430649
"동부","남자","20세 미만",18870,17126,12558,2455,143,1214,756,1744
"동부","남자","20~24",189771,165943,116349,22907,1636,18169,6882,23828
"동부","남자","25~29",426932,342439,184427,90120,4959,51501,11432,84493
"동부","남자","30~34",447433,361911,149779,142142,5877,55687,8426,85522
"동부","남자","35~39",290060,243516,90310,110865,4080,33271,4990,46544
"동부","남자","40~44",271200,233300,91409,102992,4109,29907,4883,37900
"동부","남자","45~49",239192,207710,87901,85445,3877,25749,4738,31482
"동부","남자","50~54",276372,241174,111045,91240,4507,28577,5805,35198
"동부","남자","55~59",249593,221148,107557,78391,4322,25097,5781,28445
"동부","남자","60~64",251712,227002,109585,82193,4600,25003,5621,24710
"동부","남자","65~69",197034,180759,82603,70498,3882,19624,4152,16275
"동부","남자","70~74",114439,107165,45301,45354,2495,11958,2057,7274
"동부","남자","75~79",73024,69198,27098,31406,1672,7801,1221,3826
"동부","남자","80~84",49423,47214,17963,22075,1222,5190,764,2209
"동부","남자","85세 이상",32010,30811,10274,16300,826,3030,381,1199
"동부","여자","합계",3162528,2803183,972700,1344682,62237,373230,50334,359345
"동부","여자","20세 미만",22550,19739,13940,3007,161,1647,984,2811
"동부","여자","20~24",245739,197283,124387,36043,2454,26083,8316,48456
"동부","여자","25~29",388091,285308,125992,94118,4763,51793,8642,102783
"동부","여자","30~34",286714,220114,77358,94286,3854,39801,4815,66600
"동부","여자","35~39",168014,135615,44605,63281,2408,22819,2502,32399
"동부","여자","40~44",161561,137467,43214,69465,2568,19902,2318,24094
"동부","여자","45~49",151158,134317,40825,71517,2481,17442,2052,16841
"동부","여자","50~54",190296,174974,51088,96550,3582,21228,2526,15322
"동부","여자","55~59",208778,197519,57439,108748,4556,23975,2801,11259
"동부","여자","60~64",283466,272162,77634,150548,6816,33329,3835,11304
"동부","여자","65~69",290101,280703,81559,154244,7486,33613,3801,9398
"동부","여자","70~74",233336,227425,67134,124606,6464,26599,2622,5911
"동부","여자","75~79",210037,205267,62348,110974,6030,23755,2160,4770
"동부","여자","80~84",186673,182741,59251,96881,5317,19567,1725,3932
"동부","여자","85세 이상",136014,132549,45926,70414,3297,11677,1235,3465
"서울특별시","계","합계",1627480,1343126,563389,391733,26335,311116,50553,284354
"서울특별시","계","20세 미만",12508,10562,7361,1064,94,1165,878,1946
"서울특별시","계","20~24",132540,102791,61719,13177,1295,18717,7883,29749
"서울특별시","계","25~29",283426,206148,98684,36666,2938,55700,12160,77278
"서울특별시","계","30~34",240530,178618,69489,42622,3000,56256,7251,61912
"서울특별시","계","35~39",136268,105368,36962,30931,1986,31826,3663,30900
"서울특별시","계","40~44",109198,88590,31647,27974,1782,24182,3005,20608
"서울특별시","계","45~49",86783,72554,27531,23652,1483,17534,2354,14229
"서울특별시","계","50~54",96608,83174,34759,26450,1659,17576,2730,13434
